title,performers,event_dates,price,venue,location,contact_information,description,genres,source_url,cluster
Live Wire with Luke Burbank,Luke Burbank,"March 19, 2026 at 7:30pm",$25.00 - $56.23,Alberta Rose Theatre,"3000 NE Alberta St, Portland, OR 97211",Not provided in source.,Live Wire with Luke Burbank is a live radio show that offers varying seating options and pricing for attendees.,Not provided in source.,https://livewireradio.boldtypetickets.com/events/176361188/live-wire-with-luke-burbank,1
Good Morning Gorge! Paint and Sip at Steeplejack Hillsboro,Carrie,"March 4, 2026, 6:00 pm - 8:00 pm",$40,Steeplejack Brewing,"5834 NE Pinefarm Ct, Hillsboro, OR, 97124, United States",(503) 567-1713,"Join Carrie for a fun, step-by-step painting experience at SteepleJack Brewing, where you'll create a beautiful Morning Sunrise over the Gorge. All supplies are included, and no prior experience is needed.",Not provided in source.,https://tvcreates.org/event/good-morning-gorge-paint-and-sip-at-steeplejack-hillsboro/,1
University of Portland - GreenUP - A Plant Baby Plant Event,Not provided in source.,"March 24, 2026 at 11:00 AM",Not provided in source.,SLUG (Student Led Unity Garden),"6615 North McKenna Avenue, Portland, OR 97203",Not provided in source.,"Join the University of Portland for a lively day of planting, creativity, and community at the GreenUP event. Attendees can learn about sustainable gardening, take home a plant, and participate in free watercolor sessions. There will also be opportunities to engage with Robin Wall Kimmerer, including planting, photo opportunities, and book signings.",Not provided in source.,https://www.eventbrite.com/e/university-of-portland-greenup-a-plant-baby-plant-event-tickets-1983579772496,1
Nueve Lio,Not provided in source.,"Saturday, January 10th, 2026 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,"Nueve Lio is an event taking place at the Hawthorne Theatre in Portland, Oregon, on January 10th, 2026. It is an all-ages show.",Not provided in source.,https://hawthornetheatre.com/event/nueve-lio/hawthorne-theatre/portland-oregon/,1
"SUNSET THE MACHINE with Cabfighter, Stop!, & Wall Crawler","Sunset the Machine, Cabfighter, Stop!, Wall Crawler","January 10, 2026, 08:30 pm PST",$17.00,Dante's Live,"350 W Burnside St, Portland, OR, 97209","(866) 777-8932, DantesStarTheater@gmail.com","Live performance featuring Sunset the Machine along with Cabfighter, Stop!, and Wall Crawler.",Not provided in source.,https://www.danteslive.com/tm-event/sunset-the-machine-with-cabfighter-stop-wall-crawler/,1
"Hina Matsuri, Doll’s Day",Not provided in source.,"March 1, 2026 10:00 AM - 1:00 PM",Not provided in source.,Portland Japanese Garden,Not provided in source.,Not provided in source.,"Hina Matsuri, or Doll’s Day, is a Japanese festival celebrated on March 3 to promote the happiness, growth, and good health of girls. Families display hina dolls in the days leading up to the festival, and visitors can view a traditional display of these dolls in the cultural corner.",Not provided in source.,https://dopdx.com/events/2026/3/1/hina-matsuri-dolls-day-tickets,1
ONSLAUGHT (UK) with Warlord,"ONSLAUGHT (UK), Warlord, New Skeletal Faces",29th March 2026 at 7:00 pm PDT,$33.45,Star Theater,"13 NW Sixth Avenue, Portland, OR 97209","(866) 777-8932, dantesstartheater@gmail.com","UK Metal Legends ONSLAUGHT are performing their ""The Force From Hell"" set in North America for the first time in over a decade, featuring classic era vocalist Sy Keeler. Co-headlining are cult metal heroes WARLORD, showcasing their album ""Deliver Us"" in its entirety. They will be joined by New Skeletal Faces as the opening act.",Metal,https://www.startheaterportland.com/tm-event/onslaught-uk-with-warlord/,86
Off the Top: A Freestyle Game Show,A’Revolution,"April 04, 2026 7:00 pm",$10,The Lab,"12625 SW Crescent St Beaverton, OR 97005",Not provided in source.,Off the Top: A Freestyle Game Show is an interactive showcase where freestyle artists test their lyrical agility through playful challenges. The event highlights spontaneous expression and encourages audience participation.,Freestyle,https://thereser.org/event/off-the-top-a-freestyle-game-show/,87
Rittz - Gr8ful Tour,"Rittz, Dropout Kings","March twentieth, two thousand twenty-six at 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,Rittz is performing as part of the Gr8ful Tour at the Hawthorne Theatre with Dropout Kings.,Not provided in source.,https://hawthornetheatre.com/event/rittz-gr8ful-tour/hawthorne-theatre/portland-oregon/,1
South Sound Experimental Film Festival,Ceremonial Abyss,"20th February 2026, 7:00 PM - 10:00 PM",$15,PAM CUT's Tomorrow Theater,"Richmond - Southeast Portland, OR",Not provided in source.,"The South Sound Experimental Film Festival showcases local filmmakers pushing creative boundaries, with a live soundtrack by Ceremonial Abyss accompanying a screening of the short film Athanor, along with curated film literature and mixed-media works.",Experimental Film,https://everout.com/portland/events/south-sound-experimental-film-festival/e229991/,88
Lantern Viewing Evenings,Live Chinese music,"4th March 2026, 5:30 PM – 7:30 PM",$22.95,Lan Su Chinese Garden,"239 NW Everett Street, Portland, OR 97209","503-228-8131, [email protected]","Enjoy an enchanting lantern-lit evening accompanied by live Chinese music, perfect for those who love the garden’s nighttime glow at a slower, more intimate pace.",Not provided in source.,https://lansugarden.org/events/2026-03-04/,1
Strange and the Familiars,Strange and the Familiars,15 February 2026,Not provided in source.,Rose City Book Pub,"1329 Northeast Fremont Street, 97212, Portland, OR, US",Not provided in source.,"Strange and the Familiars will be performing at Rose City Book Pub in Portland, Oregon.",Not provided in source.,https://www.songkick.com/concerts/43025786-strange-and-the-familiars-at-rose-city-book-pub,1
Busy Hands Montessori Open Houses,Not provided in source.,"April 11, 2026 10:00 am - 12:00 pm",Not provided in source.,Busy Hands Montessori,"725 NW Dale Ave., Suite 102, Portland, OR 97229",503-747-2150 • admin@busyhandspdx.com • www.busyhandspdx.com,"Discover how Montessori learning comes to life at Busy Hands Montessori through a tour of classrooms, interaction with guides, and hands-on materials. Answers about enrollment and schedules will be provided, and the event is family-friendly.",Not provided in source.,https://pdxparent.com/event-single/busy-hands-montessori-open-houses/2026-04-11/,1
CHARLIE HUNTER TRIO (Early Show),Charlie Hunter Trio,"March 13, 2026, 7:30 PM PDT",$43.49 - $115.34,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",Not provided in source.,"Charlie Hunter is a renowned guitarist, producer, and composer celebrated for his innovative playing techniques on custom-designed guitars. He blends jazz, funk, blues, and rock elements, captivating audiences worldwide.","Jazz, Funk, Blues",https://www.jacklondonrevue.com/tm-event/charlie-hunter-trio/,89
Hadestown: Teen Edition,Not provided in source.,"January 23 - February 8, 2026",Variable Pricing,The Vault Theater & Event Space,"350 E Main St. Hillsboro, OR 97123",503-345-9590,Description:,Genres:,Source URL:,3
Spring Break Camp: Broadway Bootcamp,Northwest Children's Theater,"March 23-27, 2026",$499,Patricia Reser Center for the Arts,"12625 SW Crescent St, Beaverton, OR 97005",Not provided in source.,"A week-long intensive camp for students aged 8 to 12 focused on developing skills in voice, acting, and dance in musical theater.",Musical Theater,https://thereser.org/event/spring-break-camp-broadway-bootcamp/,90
Pressing Back: Printmaking as Protest,Hannah Theiss,"February 20, 2026 at 6:00 PM","Free, RSVP required",Not provided in source.,"938 NW Everett St, Portland, OR 97209",Not provided in source.,"Join Blackfish artist Hannah Theiss for a look at printmaking as protest, followed by a hands-on workshop where participants will carve and print a linoblock. The workshop offers an introduction to printmaking as a means of sharing ideas and supporting grassroots movements.",Not provided in source.,https://www.eventbrite.com/e/pressing-back-printmaking-as-protest-tickets-1982741891371,1
"Live Music: Someday Diamonds, The Way Back Band","Someday Diamonds, The Way Back Band","Saturday, February 28, 2026 8:00 PM",$5-10 (sliding scale admission),Arbor Beer Lodge,"6550 N Interstate Ave Portland, OR 97217",hello@arborbeerlodge.com (503)286-0343,A live music event featuring Someday Diamonds and The Way Back Band from 8:00 PM to 10:00 PM with sliding scale admission. All ages welcome.,Not provided in source.,https://www.arborbeerlodge.com/events,1
The Place Where We Belong,Portland Lesbian Choir,"January 31, 2026, at 7:00 pm",Price:,Venue:,Location:,Contact Information:,Description:,Genres:,Source URL:,3
Deadhead Disco: Portland,Sappho,"Friday, March 13, 2026 at 9:00 PM",Not provided in source.,The Get Down,"680 SE 6th Ave, Portland, OR 97214",orlove@weareorlove.com,"Deadhead Disco is a new musical experience that reimagines the spirit of the Grateful Dead through dance music, combining live edits and house energy with timeless jams. It promises a continuous five-hour journey of immersive music.",Not provided in source.,https://www.eventbrite.com/e/deadhead-disco-portland-tickets-1980391739002,1
The Portland Family Band,"Kris Stuart and allstar crew, including master keyboardist Steve Kerin","April 3, 2026 6:00 pm - 8:00 pm",FREE,Laurelthirst Public House,Not provided in source.,Not provided in source.,Kris Stuart brings a stellar allstar crew to play country-fried and southern roots-rock.,"Country, Roots-Rock",https://laurelthirst.com/events/the-portland-family-band-21/var/ri-2.l-L1,91
ANNA MOSS,Anna Moss,"March 20, 2026, Doors: 7:00 pm, Show: 8:00 pm PDT",$26.24,Jack London Revue,"529 SW 4th Ave, Portland, OR 97204",info@ticketweb.com,"Vocalist/multi-instrumentalist Anna Moss brings her sultry, stripped-down soul influenced by Southern R&B, Americana, and porch jazz to the Jack London Revue.","Soul, R&B, Americana, Jazz",https://www.jacklondonrevue.com/tm-event/anna-moss/,92
Game Face Short Form Improv Jam,Not provided in source.,"March 8, 2026, 5:30 PM",$5,Curious Comedy Theater,Portland,Not provided in source.,"Game Face is a short form improv jam where participants can try out improv, enjoy the fun, and laugh in a laid-back environment.",Not provided in source.,https://dopdx.com/events/2026/3/8/game-face-short-form-improv-jam-tickets,1
Cyrus Chestnut Trio w/ Alan Jones Trio,"Cyrus Chestnut Trio, Alan Jones Trio","Friday, March 13 at 8:00 pm",$54 - $59,Alberta Rose Theatre,"3000 NE Alberta, Portland, OR 97211",Not provided in source.,"Cyrus Chestnut, an accomplished jazz pianist known for his improvisation and compositions, is performing alongside the Alan Jones Trio as part of the 2026 Biamp Portland Jazz Festival.",Jazz,https://everout.com/portland/events/cyrus-chestnut-trio-w-alan-jones-trio-presented-by-pdx-jazz/e220393/,14
Cardi B - Little Miss Drama Tour,Cardi B,"February 16, 2026",Not provided in source.,Moda Center,Lloyd District,Not provided in source.,"Cardi B brings her catchy flows to the Moda Center as part of her Little Miss Drama Tour, featuring highlights from her newly released album that addresses personal themes including her high-profile divorce.",Hip-hop/Rap,https://everout.com/portland/articles/the-top-41-events-in-portland-this-week-feb-16-22-2026/c6246/,70
Bravo the Bagchaser: R2DC Tour,"Bravo the Bagchaser, Lil Maru, GMoneyDT, PlayerrWays","February 10th, 2026 8:00 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,"Bravo the Bagchaser is performing on his R2DC Tour at Hawthorne Theatre, featuring other artists Lil Maru, GMoneyDT, and PlayerrWays. The show is open to all ages.",Not provided in source.,https://hawthornetheatre.com/event/bravo-the-bagchaser-r2dc-tour/hawthorne-theatre/portland-oregon/,1
Telltale Presents: Show & Tell,8ish performers,"February 12, 2026 at 7:30 PM",$15.00 with fees,Hawthorne Hideaway,"2221 SE Hawthorne, Portland, Or",Not provided in source.,"Telltale Presents: Show & Tell is a monthly curated storytelling event featuring a mix of comedy, stories, music, essays, and more, focusing on nostalgia. The event encourages connection and community in a welcoming environment, with attendees sharing personal stories.",Not provided in source.,https://www.merctickets.com/events/179595042/telltale-presents-show-tell,1
Community Dad's Group,Not provided in source.,"Monday, March 2, 2026, 5:30 pm - 7:00 pm",Free,Brentwood-Darlington Community Center,"7211 SE 62nd Ave, Portland, O 97206, United States",Not provided in source.,"This program hosts weekly father-child interaction groups, monthly dads’ workshops, and monthly outings for fathers and kids, aiming to increase fathers' confidence and help them connect with the community.",Not provided in source.,https://pdxparent.com/event-single/community-dads-group/2026-03-02/,1
Sunday Scaries hosted by Andie Main,"Andie Main, Local News improv team","8th March 2026, 5:30 PM doors, 6:00 PM show",Not provided in source.,White Eagle Saloon,"836 N Russell St., Portland, OR 97227","(503) 282-6810, andiemain@gmail.com","Join local comedian Andie Main as she hosts a night of true scary stories and silly comedy, featuring interviews with her friends about their strangest experiences, reenacted by Portland's premiere improv team.",Not provided in source.,https://www.mcmenamins.com/events/273803-sunday-scaries,1
*Sensory Friendly* Music + Lantern Viewing Night,Not provided in source.,"March 5, 2026 5:30 PM – 7:30 PM",$22.95,Lan Su Chinese Garden,"239 NW Everett Street, Portland, OR 97209",503-228-8131,Description:,Genres:,Source URL:,3
Open Bluegrass Jam,Not provided in source.,"Tuesday, March 10, 2026, 7pm",Free,Rock Creek Tavern,"10000 NW Old Cornelius Pass Rd., Hillsboro, OR, 97124",(503) 645-3822,A weekly bluegrass jam circle for players with intermediate skills and above. New faces are welcome to participate.,Bluegrass,https://www.mcmenamins.com/events/274073-open-bluegrass-jam,16
Portland Gay Men’s Chorus and Eugene Gay Men’s Chorus Concert,"Portland Gay Men’s Chorus, Eugene Gay Men’s Chorus","March 28, 2026, 8:00 PM & March 29, 2026, 2:00 PM",$5,Patricia Reser Center for the Arts,"12625 SW Crescent St., Beaverton",971-501-7722,The Portland Gay Men’s Chorus will perform alongside the Eugene Gay Men’s Chorus to celebrate the 30th anniversary of the song “NakedMan” by composer Robert Seely.,Not provided in source.,https://www.streetroots.org/culture/2026/03/11/got-5-snap-recipients-can-catch-discounted-shows/,1
Oregon Sinfonietta Performs Sibelius and Dvořák,"Oregon Sinfonietta, Kaylee Nah","Sunday, March 15, 2026, 3:00 PM – 4:45 PM",Free,Sunnyside Seventh Day Adventist Church,"10501 SE Market, Portland, Oregon 97216",Not provided in source.,"The Oregon Sinfonietta will perform Dvořák’s Symphony No. 7 in D Minor and Sibelius’ Violin Concerto in D Minor, featuring young Concerto Competition winner Kaylee Nah.",Classical/Opera,https://everout.com/portland/events/oregon-sinfonietta-performs-sibelius-and-dvorak/e233008/,93
Cub Club: Get Your Wiggles Out!,Not provided in source.,"February 28, 2026 10:00 am - 11:00 am",Free,Portland Christian Elementary School,"11845 SE Market St. Portland, O 97216 United States",Not provided in source.,"This free event is designed for children ages 2–5, featuring bouncy houses and other indoor activities to help kids burn energy, build motor skills, and enjoy active play in a safe environment.",Not provided in source.,https://pdxparent.com/event-single/cub-club-get-your-wiggles-out-2/,1
2nd Annual Black Pioneer of Community Safety Banquet,Not provided in source.,"Thursday, February 26, 2026, from 5:30 PM to 8:30 PM",Not provided in source.,University of Oregon Portland Campus Center,"2823 NE 27th Ave, Portland, OR",Andrew Campbell at ACampbell011@gmail.com,"The 2nd Annual Black Pioneer of Community Safety Banquet celebrates Black History Month by honoring Black first responders in the Portland Metro Area. The evening features a formal program, dinner, live entertainment, and inspiring speakers, recognizing the contributions and legacy of Black firefighters, law enforcement, and community leaders.",Not provided in source.,https://www.eventbrite.com/e/2nd-annual-black-pioneer-of-community-safety-banquet-tickets-1981448352361,1
Fleetwood Mac tribute concert,Taken by the Sky,"February 14, 2026 at 7:30 p.m.",$25 – $35,Elsinore Theatre,"170 High St. S.E., Salem",Not provided in source.,"Taken by the Sky, a Fleetwood Mac tribute band from Portland, will perform at Elsinore Theatre on Valentine's Day.",Not provided in source.,https://www.salemreporter.com/2026/02/11/6-things-to-do-in-salem-this-valentines-day-pottery-workshop-oregons-largest-garage-sale-fleetwood-mac-tribute-concert/,1
Friday Night Show✨,Darcelle XV & Co.,"March 27, 2026 at 8:00 PM",$32,Darcelle XV Showplace,"208 NW 3rd Ave, Portland, OR 97209, United States",503-222-5338,"A fabulous night of glittery entertainment featuring fierce performances and nonstop sparkle, suitable for celebrations like bachelor or bachelorette parties, birthdays, or just enjoying the week.",Not provided in source.,https://darcellexv.com/event/friday-night-show%e2%9c%a8/2026-03-27/,1
METALACHI with Joshua Josué,"METALACHI, Joshua Josué","March 28, 2026, 09:00 pm PDT",$26.24,Dante's Live,"350 West Burnside Street, Portland, OR, 97209, US","(866) 777-8932, DantesStarTheater@gmail.com","METALACHI, a music act, will perform with Joshua Josué on March 28, 2026, at Dante's Live in Portland.",Not provided in source.,https://www.danteslive.com/tm-event/metalachi-with-joshua-josue/,1
Eli,Eli,"Thursday, March 26, 2026 8:00 PM",$28,Wonder Ballroom,"Portland, Oregon",Not provided in source.,"Eli, a musician and artist from Massachusetts, will perform her debut album ""Stage Girl,"" which explores themes of personal growth and childhood through a fictional reality competition.",Not provided in source.,https://wonderballroom.com/event/eli/wonder-ballroom/portland-oregon/,1
Kids' Mornings at Oaks Park Roller Rink,Not provided in source.,"Saturday, February 28, 2026 at 10:00 am - 11:30 am",$13,Oaks Amusement Park,"7805 SE Oaks Park Way, Portland, OR 97202",Not provided in source.,"Enjoy a kid-centered skating session featuring a special playlist of kid-friendly hits, skate games, and a visit from Chipper the Squirrel. A short group lesson is also provided by a certified coach during October-May.",Not provided in source.,https://pdxparent.com/event-single/kids-mornings-at-oaks-park-roller-rink/2026-02-28/,1
2026 Shamrock Run Fest,Not provided in source.,"Sunday, March 15",Not provided in source.,Southwest Naito Parkway and Pine Street,"Portland, Oregon",Not provided in source.,"The Shamrock Run Fest is an annual race celebrating Portland's running culture, offering multiple race distances including a half marathon, 8K, 5K, and a kids' run. The event features a festive St. Patrick's themed atmosphere with post-race celebrations including live Irish music and craft beer. It also supports local charities and initiatives.",Not provided in source.,https://portlandtribune.com/2026/03/10/feeling-lucky-portlands-shamrock-run-fest-is-back/,1
Marty Supreme,Not provided in source.,Sun March 8 7:00PM,Not provided in source.,Kennedy School,Portland,Not provided in source.,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",Not provided in source.,https://dopdx.com/events/2026/3/8/marty-supreme-tickets,1
"Lake Inferior, Law Boss, Mount Terror","Lake Inferior, Law Boss, Mount Terror","February 22, 2026, 4–7 pm",Not provided in source.,Turn! Turn! Turn!,"8 NE Killingsworth, Portland, Oregon 97211",Not provided in source.,"A loud, heavy rock festival featuring performances by Lake Inferior, Law Boss, and Mount Terror.",Rock,https://everout.com/portland/events/lake-inferior-law-boss-mount-terror/e230529/,22
Left on Tenth Album Release featuring Camille Tredoux,"Left on Tenth, Camille Tredoux","March 13, 2026",$15-$20,The Showdown,"Hosford-Abernethy, Portland",Not provided in source.,"Indie funk-rock band Left on Tenth performs to celebrate their new album, ""Croak,"" with support from soul artist Camille Tredoux.",Indie funk-rock,https://everout.com/portland/articles/the-best-bang-for-your-buck-events-in-portland-this-weekend-mar-13-15-2026/c6284/,94
Lala Lala Concert,"Lala Lala, @lotsofhands","March 17, 2026 at 8:00 pm",$28.10,Polaris Hall,635 N Killingsworth Ct,Not provided in source.,"Lala Lala, an indie rock artist from LA-via-Chicago, will perform catchy guitar-pop songs from her new album, Heaven 2, at Polaris Hall.","Indie rock, guitar-pop",https://portlandmercury.com/free-tickets/2026/03/05/48359702/free-tickets-thursday-win-tix-to-colony-house-lala-lala-colby-acuff-and-more,95
Derina Harvey Band,Derina Harvey Band,"Friday, March 20, 2026, at 7:30 PM",$35 in advance or $40 the day of the show,Walters Cultural Arts Center,Hillsboro,Not provided in source.,"The Derina Harvey Band is an award-winning group known for transforming traditional folk music into high-energy Celtic rock. They perform a mix of traditional folk songs, sea shanties, and original material featuring powerful vocals and energetic instrumentation.","Celtic rock, folk music",https://hillsboronewstimes.com/2026/03/09/derina-harvey-band-to-rock-hillsboros-walters-cultural-arts-center-this-march/,96
Tommy Oeffling at Holocene,Tommy Oeffling,"January 5, 2026, 8:00 PM",$20.24,Holocene,"1001 SE Morrison, Portland, OR 97214",Not provided in source.,"Tommy Oeffling, an indie rock artist from Milwaukee, Wisconsin, will perform at Holocene. He creates lo-fi music and tells relatable stories through his songs. His recent album ""Picture of Health"" reflects his experiences as a 20-year-old.",Indie Rock,https://everout.com/portland/events/tommy-oeffling/e225814/,97
Friday the 13th,Not provided in source.,"Friday, March 13, 11 am–10 pm",$150,Fuzzy Pits Tattoo,"1327 SE Martin Luther King Jr Blvd Suite A, Portland, OR 97214",Not provided in source.,"A walk-in style tattoo event offering designs for $150-$200, with half the proceeds donated to the PIRC.",Not provided in source.,https://everout.com/portland/events/friday-the-13th/e232988/,1
Meet The Off Beat: Portland's Newest All-Ages Music Venue,"Ad Nauseam, Brown Calculus, Spiderling, Team Dresch","Friday, February 13, 2026 at 5:15 pm",Not provided in source.,The Off Beat,"Portland, Oregon",Not provided in source.,"The Off Beat is celebrating its grand opening as Portland's newest all-ages venue with a performance by multiple bands, including Ad Nauseam, which features members aged 10 to 16. This venue, aimed at providing a safe space for youth, prioritizes inclusivity and connects young musicians with the music industry.",Not provided in source.,https://portlandmercury.com/music/2026/02/12/48312170/meet-the-off-beat-portlands-newest-all-ages-music-venue,1
Shibari for Lovers: Tying for Connection,Jonathan & Sappho,22 February 2026 at 10am,$150.00 (with fees $161.50),Portland Shibari Salon,"Portland, OR 97201",Not provided in source.,"A workshop exploring the themes of trust and vulnerability through Shibari, where participants will learn safe and beautiful tying techniques, basic knots, and how to build intimacy with rope.",Not provided in source.,https://www.merctickets.com/events/176666819/shibari-for-lovers-tying-for-connection,1
Buddy Wakefield,Buddy Wakefield,"April 6, 2026 at 7:00 PM",$20.00,The Siren Theater,"3913 N. Mississippi Ave, Portland, OR 97227",http://www.sirentheater.com,"Expect a disarming evening of humor and heart with 3-time world champion spoken word artist, Buddy Wakefield.",Spoken Word,https://www.merctickets.com/events/182170845/buddy-wakefield,98
Kris Deelane & the Hurt,Kris Deelane & the Hurt,8th February 2026 at 2:00 AM,Not provided in source.,Not provided in source.,Not provided in source.,Not provided in source.,"Kris Deelane is making a loud noise in the Portland Rock scene with her nine-piece soul band The Hurt, amplifying her performances in and around Portland and the Pacific Northwest.","Rock, Soul",https://laurelthirst.com/events/kris-deelane-the-hurt-25/,99
Sapphira Cristál: One Slue Over The Cuckoo’s Nest,Sapphira Cristál,"March 26, 2026 7:30 PM",Not provided in source.,Helium Comedy Club,1510 SE 9th Ave Portland OR 97214,503.583.8464,"Sapphira Cristál, known for her appearance on RuPaul’s Drag Race Season 16, brings her unique blend of humor and performance to the stage, discussing themes of travel, self-image, and entertainment while engaging the audience with her wit and charisma.",Not provided in source.,https://portland.heliumcomedy.com/shows/356339,1
Black History Month at the Portland Art Museum,Not provided in source.,"Saturday, February 28, 2026",Free – $26,Portland Art Museum,"1219 SW Park Ave, Portland, OR",Not provided in source.,"Throughout February, the Portland Art Museum celebrates Black history, creativity, and cultural leadership through a series of films, performances, lectures, conversations, and community-centered programs.","Arts/Crafts, Educational, Family Fun, Museum",https://pdxparent.com/event-single/black-history-month-at-the-portland-art-museum-2/2026-02-28/,100
GrindHouse disco~glam~metal~punk,Not provided in source.,"Saturday, 14 February 2026, 11:30 PM PST",Not provided in source.,Dante's,"350 West Burnside Street, Portland, OR 97209",Not provided in source.,Not provided in source.,"disco, glam, metal, punk",https://www.ticketweb.com/event/grindhouse-discoglammetalpunk-dantes-tickets/14052744,23
Ivy Wolk presents Age of Consent (6:00 show),"Ivy Wolk, Jordan Casner, Clare O'Kane",15th February 2026 at 6:00 PM,"$25.00 (General Admission), $35.00 (VIP)",The Siren Theater,"3913 N. Mississippi Ave, Portland, OR 97227",Not provided in source.,"Ivy Wolk presents her stand-up show ""Age of Consent"" at The Siren Theater, featuring hosts Jordan Casner and Clare O'Kane. The show starts at 6:00 PM with doors opening at 5:30 PM.",Comedy,https://www.merctickets.com/events/181280567/ivy-wolk-presents-age-of-consent-600-show,12
DRAWING ON THE WALLS,"WindSync, BodyVox","April 25, 2026, 2:00 PM",Not provided in source.,Portland Community College (Sylvania) - Performing Arts Center,"Portland, Oregon","503-223-3202 (tickets), 503-294-6400","“DRAWING ON THE WALLS” is a collaborative performance uniting live chamber music from WindSync and contemporary dance by BodyVox, celebrating the synergy of music and movement in an original world premiere production.","Chamber music, contemporary dance",https://cmnw.org/concerts-events/2025-26-season/windsync-bodyvox-music-dance-2/2388,101
Jazz Interlude at The Burlingame Space Mt. Hood Jazz Fest,Jazz Interlude,"Saturday, April 25, 2026, 7:00 pm - 9:00 pm",$20,The Burlingame Space,"8423 SW Terwilliger Blvd, PORTLAND, OR, 97219","Customer Support: 6200 SW Virginia Ave, Suite 208 Portland, OR 97239, [email protected], 1-800-820-9884","Jazz Interlude will perform at The Burlingame Space as part of the Mt. Hood Jazz Festival, showcasing original compositions and jazz classics in an intimate setting.",Jazz,https://tickettomato.com/event/9910/jazz-interlude-at-the-burlingame-space-mt-hood-jazz-fest,14
GIMME GIMME DISCO,Not provided in source.,"February fourteenth, 2026 at 8:30 PM",Not provided in source.,Hawthorne Theatre,"1507 SE 39th Ave, Portland, OR 97214",gm@hawthornetheatre.com,A disco-themed event where attendees must be 21 and over with a valid photo ID.,Not provided in source.,https://hawthornetheatre.com/event/gimme-gimme-disco-20/hawthorne-theatre/portland-oregon/,1
Open Space Too Show,"Open Space Too dancers, Ching Ching Wong, Franco Nieto, Tracey Durbin, Claire Olberding, Audrey Wells","February 1, 2026, 7:30 PM – 9:00 PM","$20.00 (General Admission), $10.00 (Student/Working Artist/Senior)",Open Space Creative Container,"8371 N Interstate Ave, Portland, OR 97217, USA",charlene@openspace.dance,"The event showcases the works of Open Space Too dancers, featuring premieres by Ching Ching Wong and Artistic Director Franco Nieto, alongside pieces staged by other choreographers.",Not provided in source.,https://www.openspace.dance/event-details/open-space-too-show-2026-02-01-19-30,1
kwn,Not provided in source.,"Friday, March 6th, 6:30pm doors, 8pm show",Not provided in source.,Crystal Ballroom,Portland,Not provided in source.,An event featuring kwn at the Crystal Ballroom with doors opening at 6:30pm and the show starting at 8pm.,Not provided in source.,https://www.crystalballroompdx.com/events/273674-kwn/,1
Northwest Academy Presents: Spring 2026 High School Music Concert,Not provided in source.,"Wed. March 11th 2026, 7:30 pm",Not provided in source.,The Old Church,"1422 SW 11th Ave, Portland, OR 97201",Not provided in source.,Northwest Academy presents a high school music concert.,Not provided in source.,https://www.onthestage.tickets/show/northwest-academy/69a4dd5685b0c26afde66526,1
Lacuna Coil,Lacuna Coil,"April 5, 2026 at 7:30 PM",$39.99+,McMenamins Crystal Ballroom,"1332 West Burnside, Portland, OR",Not provided in source.,"Lacuna Coil will perform at McMenamins Crystal Ballroom, showcasing their latest album, Sleepless Empire, known for its dark and cinematic qualities.",Heavy music,https://portlandmercury.com/free-tickets/2026/03/12/48370634/free-tickets-thursday-win-tix-to-lacuna-coil-jacqueline-novak-the-wonder-years-and-more,102
"Four Stroke Baron w/ Nott, Tribunal","Four Stroke Baron, Nott, Tribunal","Friday, March 6 at 8 pm",$19 Adv/$25 Doors,Twilight Cafe and Bar,"832 SE Grand Ave, Portland, OR 86214",Not provided in source.,"A live music event featuring performances by Four Stroke Baron, Nott, and Tribunal at the Twilight Cafe and Bar in Portland.",Not provided in source.,https://everout.com/portland/events/four-stroke-baron-w-nott-tribunal/e227451/,1
The Blacklight Paint Party Experience,"Corinne Dermond, Kindra Flavin, Miz Chaos","February 27, 2026, from 7:00 PM to 9:00 PM",Price:,Venue:,Location:,Contact Information:,Description:,Genres:,Source URL:,3
#PlantWednesday Spotlight: Discovering Bamboo: What Makes This Plant So Remarkable,Not provided in source.,"March 4, 2026, 11:00 AM – 11:30 AM",Free with admission or membership,Lan Su Chinese Garden,"239 NW Everett Street, Portland, OR 97209","503-228-8131, [email protected]","Join the horticulture team for a tour focusing on the remarkable bamboo plant, featuring gardening tips and more.",Not provided in source.,https://lansugarden.org/series/plantwednesday-spotlight/,1
Pagan Jug Band,Pagan Jug Band,"March 17, 2026 6:00 pm - 8:00 pm",FREE,Laurelthirst Public House,Not provided in source.,Not provided in source.,"A delightful mix of jug, blues, country, bluegrass, and hokum sounds from this ebullient ensemble that has been rocking Portland for decades.","Jug, Blues, Country, Bluegrass, Hokum",https://laurelthirst.com/events/pagan-jug-band-6/var/ri-2.l-L1,103
